snapshot_date,ticker,instrument_name,curve_type,instrument_type,settlement_date,maturity_date,days_to_maturity,price,annual_yield,monthly_yield,duration_years,volume,status,source_id,source_url,source_sha256,retrieved_at
2026-08-19,TX31,Bono CER,cer,boncer,2026-08-20,2031-12-01,1929,1433.000000,10.127150,0.807118,2.747442,8235402.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,DICP,Bono CER,cer,boncer,2026-08-20,2034-01-02,2692,47970.000000,2.281144,0.188136,3.541881,1572164.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,PARP,Bono CER,cer,boncer,2026-08-20,2038-12-31,4516,35100.000000,9.641104,0.769967,6.512965,125762.000000,calculated_from_public_price_and_cashflows,rendimientos_bcra_calculated_cer_yield,https://rendimientos.co/api/cer-precios,17aced4a0fb7c285b5058aa13cf12b129f9f9218c9ab42fb02c1e8c77e2c301f,2026-08-19T23:48:18Z
2026-08-19,S31G6,LECAP,nominal,lecap,2026-08-20,2026-08-31,11,126.300000,22.154340,1.681609,0.030137,10835469887.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,S15S6,LECAP,nominal,lecap,2026-08-20,2026-09-15,26,105.250000,29.572993,2.182426,0.071233,38562128721.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,S30S6,LECAP,nominal,lecap,2026-08-20,2026-09-30,41,113.990000,31.352823,2.298661,0.112329,74791628455.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,S30O6,LECAP,nominal,lecap,2026-08-20,2026-10-30,71,128.500000,30.246020,2.226550,0.194521,6110964462.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,S13N6,LECAP,nominal,lecap,2026-08-20,2026-11-13,85,102.865000,31.559781,2.312083,0.232877,47955967521.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,S30N6,LECAP,nominal,lecap,2026-08-20,2026-11-30,102,120.250000,31.771047,2.325765,0.279452,19361898672.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_notes,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,T15E7,BONCAP,nominal,boncap,2026-08-20,2027-01-15,148,144.200000,31.439613,2.304292,0.405479,2926535567.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_bonds,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,T30A7,BONCAP,nominal,boncap,2026-08-20,2027-04-30,253,129.670000,32.187146,2.352653,0.693151,53039141540.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_bonds,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,T31Y7,BONCAP,nominal,boncap,2026-08-20,2027-05-31,284,122.500000,31.470075,2.306268,0.778082,2157162229.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_bonds,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
2026-08-19,T30J7,BONCAP,nominal,boncap,2026-08-20,2027-06-30,314,125.200000,29.167850,2.155762,0.860274,587973542.000000,calculated_from_delayed_quote,argentinadatos_data912_yield_curves,https://data912.com/live/arg_bonds,14b12377a317b3bae680cb2b3507f3014b1ee682be052b1f3b536ef2d0a7f1d2,2026-08-19T23:48:17Z
